songID,songName,artist,bpm,songType,version,difficulty,note
844,Heliosphere,BlackY,182,arcade,phoenix,14;18;21;23,Phoenix 2 v2.12.0
845,SWEET WONDERLAND,MAX feat. ankimo,170,arcade,phoenix,3;5;8;12;15;17;20,Phoenix v2.12.0
846,T.B.H,QWER,178,arcade,phoenix2,2;4;6;14;17;20;22,Phoenix 2 v1.0.0
847,Do the Dance,ILLIT,130,arcade,phoenix2,1;3;5;8;15;17;20,Phoenix 2 v1.0.0
848,404 (New Era),KiiiKiii,127,arcade,phoenix2,1;3;5;16;18;21,Phoenix 2 v1.0.0
849,BANG BANG,IVE,152,arcade,phoenix2,2;4;6;10;16;18,Phoenix 2 v1.0.0
,Aleph-0,LeaF,,arcade,phoenix2,,Phoenix 2 v1.0.0
851,NightTheater,*wakadori,151,arcade,phoenix2,12;15;18;21,Phoenix 2 v1.0.0
852,QUATTUORUX,"D-D-Dice Vs. Tanchiky Vs, Karameru",220,arcade,phoenix2,15;19;22;24,Phoenix 2 v1.0.0
853,Freedom Dive,xi,222,arcade,phoenix2,13;17;22;25,Phoenix 2 v1.0.0
854,BLAZOR,WONDERTRAVELER Project,161,arcade,phoenix2,11;15;18;20;22,Phoenix 2 v1.0.0
855,Punishment Restaurant,memme,175,arcade,phoenix2,4;8;11;17;21,Phoenix 2 v1.0.0
856,OVERNIGHT FLOWER,P*Light,210,arcade,phoenix2,12;16;19;22;24,Phoenix 2 v1.0.0
,Embrace of Zephyr,Essbee,,arcade,phoenix2,,Phoenix 2 v1.0.0
858,B3,MAX,160,arcade,phoenix2,7;11;16;18;20,Phoenix 2 v1.0.0
859,Enjoy The Show,RiraN ft. Negoto Bunnyla,160,arcade,phoenix2,10;18;21;23,Phoenix 2 v1.0.0
860,Digitalis,NeLiME,160,arcade,phoenix2,11;14;18;21,Phoenix 2 v1.0.0
861,The Last Rebellion,MonstDeath,199,arcade,phoenix2,16;19;21;23,Phoenix 2 v1.0.0
862,Dreamchasers,s-don,155,arcade,phoenix2,12;15;17;20,Phoenix 2 v1.0.0
863,SUPER☆HARAGURO☆POP,Zekk,160,arcade,phoenix2,4;7;10;12;16;18;20;22,Phoenix 2 v1.0.0
864,Crash-Landing Rendezvous,Xyris,128-190,arcade,phoenix2,13;16;19;22,Phoenix 2 v1.0.0
865,INFiNiTE ENERZY ,Reku Mochizuki,180,arcade,phoenix2,13;16;18;21;23,Phoenix 2 v1.0.0
,Rise Up feat. Miori Celesta,memme,190,arcade,phoenix2,11;16;18;22,Phoenix 2 v1.0.0
,Lucky Star,INFX feat. Miori Celesta,180,arcade,phoenix2,8;11;15;17;20,Phoenix 2 v1.0.0
,Antique Serenade,Abel,214,arcade,phoenix2,12;16;18;21,Phoenix 2 v1.0.0
,Unfelicitas,Fiverwater,192,arcade,phoenix2,4;7;12;17;20;22,Phoenix 2 v1.0.0
,We Love Your Step,EmoCosine,205,arcade,phoenix2,11;14;18;20;22,Phoenix 2 v1.0.0
,Ercitite,Doin x neur6sia,135,arcade,phoenix2,3;6;9;12;15;18;21,Phoenix 2 v1.0.0
,King’s Tomb,r300k,113,arcade,phoenix2,4;7;10;13;17;20;22,Phoenix 2 v1.0.0
,Pull me up Feat. Monya,Applesoda,160,arcade,phoenix2,3;7;11;16;19,Phoenix 2 v1.0.0
,Cynical,RiraN ft. Negoto Bunnyla,155,arcade,phoenix2,8;12;16;18;21,Phoenix 2 v1.0.0
,"Dizzy Dance, Street Light",WyvernP,128,arcade,phoenix2,6;16;18;20,Phoenix 2 v1.0.0
876,CALL ME BACK,TNX,128,arcade,phoenix2,1;3;5;8;14;16;20,Phoenix 2 v1.01.0
877,DIE ANOTHER DAY,TNX,98,arcade,phoenix2,3;5;9;15;17;20,Phoenix 2 v1.01.0
878,The Stranger,ONF,116,arcade,phoenix2,2;4;6;9;15;18;20;22,Phoenix 2 v1.01.0
879,Ghost Bloody Train,Fiverwater,192,arcade,phoenix2,11;15;18;21;23,Phoenix 2 v1.01.0
880,L (PIU Edit),Ice,155,arcade,phoenix2,12;18;22;24,Phoenix 2 v1.01.0
881,Can I friend you on Bassbook? lol,Camellia & Nanahira,128,arcade,phoenix2,4;7;11;17;19;22,Phoenix 2 v1.01.0
