Final Name,Old rating processed,New rating processed,"Remix, Shortcut, Arcade?"
Vector,13,14,arcade
STORM,14,15,arcade
Full Moon,20,19,arcade
Full Moon,22,21,arcade
YOU AND I,14,15,arcade
Festival of Death Moon,14,15,arcade
Festival of Death Moon,18,19,arcade
Highway Chaser,21,20,arcade
Versailles,20,21,arcade
The Apocalypse,20,21,arcade
BOOOOM!!,10,12,arcade
Jupin,12,13,arcade
Flavor Step!,21,20,arcade
Lucid Dream,21,20,arcade
Etude Op 10-4,16,17,arcade
Etude Op 10-4,22,23,arcade
Demon of Laplace,6,5,arcade
Demon of Laplace,10,8,arcade
New Rose,11,12,arcade
INVASION,13,14,arcade
Earendel,20,19,arcade
Athena's Shield,20,19,arcade
Athena's Shield,22,21,arcade
Nyarlathotep,18,19,arcade
Iolite Sky,22,23,arcade
Le Grand Rouge,20,21,arcade
Ice of Death,3,4,arcade
Repentance,22,23,arcade
Super Capriccio,16,17,arcade
Further,11,12,arcade
Sarabande,20,21,arcade
Allegro Furioso,20,21,arcade
Rave'til the earth's end,19,20,arcade
Yog-Sothoth,9,10,arcade
Super Fantasy,14,15,arcade
Super Fantasy,20,21,arcade
Move That Body!,20,21,arcade
You again my love,14,15,arcade
Robot Battle,14,15,arcade
Reminiscence,3,4,arcade
Reminiscence,6,7,arcade
Reminiscence,18,19,arcade
Elise,11,12,arcade
FFF,18,19,arcade
D,11,12,arcade
U Got Me Rocking,18,19,arcade
Cleaner,13,14,arcade
Reality,9,10,arcade
Reality,15,16,arcade
Reality,17,18,arcade
Take Out,11,12,arcade
Take Out,20,21,arcade
Butterfly,13,14,arcade
Butterfly,16,17,arcade
Overblow,20,21,arcade
The Devil,19,20,arcade
Pine Nut,20,19,arcade
XTREE,14,15,arcade
Sorceress Elise,21,22,arcade
Destination,20,21,arcade
Tek -Club Copenhagen-,3,4,arcade
Turkey March -Minimal Tunes-,3,4,arcade
Phantom -Intermezzo-,19,20,arcade
Napalm,21,22,arcade
Cannon X.1,3,4,arcade
Final Audition Ep.2-X,17,18,arcade
Final Audition Ep.2-X,23,24,arcade
Money,14,15,arcade
Faster Z,16,17,arcade
Pumptris Quattro,13,14,arcade
Higgledy Piggledy,19,20,arcade
Jam O Beat,7,8,arcade
Witch Doctor #1,5,6,arcade
Final Audition Ep.2-2,8,9,arcade
Final Audition Ep.2-2,21,22,arcade
Final Audition Ep.2-2,22,23,arcade
Moonlight,19,20,arcade
Witch Doctor,11,12,arcade
Love is a Danger Zone pt.2,15,16,arcade
Monkey Fingers,10,12,remix
D Gang,11,13,arcade
Come to Me,17,18,arcade
Emperor,2,3,arcade
Emperor,8,9,arcade
Love Is A Danger Zone,8,9,arcade
Love Is A Danger Zone,19,20,arcade
Mission Possible,19,20,arcade
My Way,15,16,arcade
Point Break,13,14,arcade
Will-O-The-Wisp,5,6,arcade
Vook,20,21,arcade
Csikos Post,8,9,arcade
CHICKEN WING,21,22,arcade
Can Can,16,17,arcade
Final Audition Ep.1,9,10,arcade
Rolling Christmas,12,13,arcade
Oh! Rosa!,9,10,arcade
Naissance,20,21,arcade
About The Universe,21,20,arcade
Galaxy Collapse,18,19,arcade
Galaxy Collapse,22,23,arcade
Human Extinction (PIU Edit.),22,21,arcade
Acquire,20,21,arcade
Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI,19,20,arcade
R.I.P,12,13,arcade
Spooky Macaron,23,22,arcade
Odin,21,20,arcade
Pop Sequence,11,12,arcade
Kokugen Kairou Labyrinth,9,10,arcade
STEP,13,14,arcade
Nakakapagpabagabag,11,12,arcade
MATADOR,10,11,arcade
Milky Way Galaxy,18,19,arcade
Karyawisata,20,21,arcade
Mitotsudaira,18,19,arcade
Baroque Virus,10,11,arcade
Ladybug,14,15,arcade
Xuxa,5,6,arcade
Xuxa,14,15,arcade
What Happened,21,22,arcade
Smell Like A Chocolate,16,17,arcade
SWEET WONDERLAND,20,21,arcade
Death Moon,12,13,arcade
Death Moon,19,20,arcade
Jupin,21,20,shortcut
Jupin,22,21,shortcut
Super Fantasy,19,20,shortcut
Cleaner,21,22,shortcut
Final Audition EP.2-X,20,21,shortcut
CHICKEN WING,20,21,shortcut
Witch Doctor,20,21,shortcut
Bemera,22,23,shortcut
Death Moon,22,23,shortcut
Hyperion,20,21,shortcut
Avalanquiem,20,21,remix
Dr. KOA,18,19,remix
Banya-P Guitar Remix,22,23,remix
BEMERA,17,18,remix
BanYa-P Classic Mix,21,22,remix
