song_id,title,artist,bpm,version,song_type
4,Another Truth,Novasonic,136,1st,arcade
5,Final Audition,BanYa,130,2nd,arcade
6,Extravaganza,BanYa,195,2nd,arcade
9,Repeatorment Remix,BanYa,150,2nd,remix
10,Final Audition 2,BanYa,130,3rd,arcade
11,Naissance,BanYa,136,3rd,arcade
12,Turkey March,BanYa,150,3rd,arcade
13,Nightmare,BanYa,120,3rd,arcade
14,Close Your Eye,BanYa,105,3rd,arcade
15,Free Style,BanYa,99,3rd,arcade
16,Midnight Blue,BanYa,80,3rd,arcade
17,She Likes Pizza,BanYa,230,3rd,arcade
18,Pumping Up,BanYa,135,3rd,arcade
20,Oh! Rosa!,BanYa,148,3rdSE,arcade
21,First Love,BanYa,103,3rdSE,arcade
22,Betrayer,BanYa,92,3rdSE,arcade
23,Solitary,BanYa,136,3rdSE,arcade
24,Mr.Larpus,BanYa,190,3rdSE,arcade
25,Pump Jump,BanYa,106,PerfectCollection,arcade
26,N,BanYa,106,PerfectCollection,arcade
27,Rolling Christmas,BanYa,142,PerfectCollection,arcade
28,All I Want For X-mas,BanYa,130,PerfectCollection,arcade
29,Beethoven Virus,BanYa,162,PerfectCollection,arcade
30,Slam,Novasonic,131,PerfectCollection,arcade
31,Chicken Wing,BanYa,200,Extra,arcade
32,Final Audition Ep.1,BanYa,189,Extra,arcade
33,EXTRA BanYa Remix,BanYa,200,Extra,remix
34,Dr. M,BanYa,145,Rebirth,arcade
35,Emperor,BanYa,150,Rebirth,arcade
36,Get Your Groove On,BanYa,96,Rebirth,arcade
37,Love is a Danger Zone,BanYa,140,Rebirth,arcade
38,Maria,BanYa,136,Rebirth,arcade
39,Mission Possible,BanYa,124,Rebirth,arcade
40,My Way,BanYa,118,Rebirth,arcade
41,Point Break,BanYa,92,Rebirth,arcade
42,Street Show Down,BanYa,124,Rebirth,arcade
43,Top City,BanYa,110,Rebirth,arcade
44,Winter,BanYa,168,Rebirth,arcade
45,Will-O-The-Wisp,BanYa,210,Rebirth,arcade
46,Till the end of time,BanYa,140,Rebirth,arcade
47,Oy Oy Oy,BanYa,148,Rebirth,arcade
48,We will meet again,BanYa,118,Rebirth,arcade
49,Miss S'Story,BanYa,111,Rebirth,arcade
50,Set me up,BanYa,120,Rebirth,arcade
51,Dance wth me,BanYa,122,Rebirth,arcade
52,Vook,BanYa,184,Rebirth,arcade
53,Csikos Post,BanYa,180,Rebirth,arcade
54,Bee,BanYa,160,Premiere3,arcade
55,D Gang,BanYa,150,Premiere3,arcade
56,Hello,BanYa,140,Premiere3,arcade
